Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
IN;Altona town;98.5;0;0.5;0;1
IL;Altona village;97.4;0;0;0.4;4
FL;Altoona CDP;98.9;0;0;1.1;1.1
WA;Altoona CDP;79.5;0;7.7;0;5.1
IA;Altoona city;95.1;1.1;0.1;1.1;2.9
KS;Altoona city;95.2;0;1.2;0;2.9
PA;Altoona city;93.8;3.3;0.1;0.4;1.3
WI;Altoona city;93.5;0.9;0.4;1.9;2.5
AL;Altoona town;95.8;1.7;0.2;0.2;1.1
MN;Altura city;96.6;0.4;0;0;10.3
FL;Alturas CDP;87.9;3.6;0.4;0.4;17.1
CA;Alturas city;86;0.5;2.9;1.6;12.3
AR;Altus city;96.3;0.1;1.1;1.2;2.8
OK;Altus city;68.6;9.6;1.7;1.4;23.7
WV;Alum Creek CDP;98.9;0.2;0.2;0.2;1.1
CA;Alum Rock CDP;42.4;1.3;1.9;13.1;70.7
FL;Alva CDP;97.5;0.3;0.3;0.5;3.7
OK;Alva city;90;2;2.1;1.1;4.6
IL;Alvan village;96.7;0.7;0.4;1.1;1.9
MN;Alvarado city;88.2;0.3;0.3;0.3;16.3
TX;Alvarado city;83.2;5.5;0.4;0.5;20.1
TX;Alvin city;79.4;3.1;0.6;0.9;36.2
NE;Alvo village;100;0;0;0;0
IA;Alvord city;89.8;0;0;0;11.2
TX;Alvord town;92.4;0.9;0.8;0.3;9.2
