state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
TX;Alice Acres;75.5;0.4;2;0;92.2;NA;51.1;52.4
ND;Alice ;100;0;0;0;0;28750;80.8;3
TX;Alice ;86.7;0.8;0.7;0.6;85.1;40835;73.7;25.1
AL;Aliceville ;22.6;74.9;0.1;0;1.2;21131;74.3;41.3
AR;Alicia town;100;0;0;0;1.6;16389;79.2;47.9
OK;Aline town;94.2;0;3.4;0;0;51429;88.6;15.1
PA;Aliquippa ;57.6;38.6;0.1;0.4;1.3;30851;88.2;29.7
CA;Aliso Viejo;72;2;0.3;14.6;17.1;102367;96.4;4.9
AK;Allakaket ;1;0;95.2;0;0;26500;72.9;9.1
NJ;Allamuchy ;97.4;0;0;0;12.8;NA;100;0
TN;Allardt ;99.7;0;0;0;0.2;39145;81;23.2
MI;Allegan ;91.4;4.3;0.6;0.8;3.8;41010;87.3;16.8
NY;Allegany village;96.1;0.2;0.1;2.2;2;48750;98.1;26.9
CA;Alleghany ;100;0;0;0;1.7;NA;81.9;81.9
PA;Alleghenyville ;98.2;0.4;0;1;1.6;83795;94.4;3.4
IA;Alleman ;98.4;0;0;0.2;0;81818;96.9;1.3
MD;Allen ;93.3;4.8;1;0;2.9;NA;100;50.9
SD;Allen ;3.3;0;96.4;0;1;19000;36.9;94.1
KS;Allen ;96;0;0;0;4;39500;84.2;28.3
KY;Allen ;99.5;0;0;0;0;NA;62.4;37.9
TX;Allen ;72;8.4;0.5;12.9;11.2;103051;95.6;5.5
MI;Allen Park;92.9;2.1;0.5;0.8;8.1;63007;91.5;6.8
OK;Allen town;75.5;0.1;17.8;0.4;1;38667;84;25.8
MI;Allen village;97.9;0;0;1;0;45000;87;18.5
NE;Allen village;98.1;0.3;0;0.3;3.4;46875;95;11
NJ;Allendale borough;87.4;0.5;0;9.6;4.7;140331;97.2;4
CA;Allendale ;82.3;3.3;1.5;2.8;15.6;121875;96.6;3.2
MI;Allendale ;90.7;3.3;0.4;1.5;4.8;44610;92.5;27.4
SC;Allendale town;12.8;83.4;0.2;0.7;2.8;21918;75.4;29.8
IL;Allendale village;99.2;0.4;0;0.2;0.2;47813;89.1;13.2
MO;Allendale village;100;0;0;0;0;NA;97.6;25
NJ;Allenhurst borough;94.8;1;0;1;4.4;83155;97.7;3.5
GA;Allenhurst ;47.9;44;0;2.3;5.8;42083;87.9;20.8
PA;Allenport borough;99.1;0.6;0;0;0.2;56125;91;12.3
PA;Allenport ;98.3;0.9;0;0;1.4;30446;89.6;17.6
CO;Allenspark ;98.1;0.4;0.4;0;2.7;46981;100;3
PA;Allensville ;98.6;0.8;0;0;0;40625;58.9;7.6
KY;Allensville ;78.3;18.5;0;0;2.5;28125;83.9;32.1
CA;Allensworth ;33.5;4.7;0;1.7;92.6;28929;37.2;49.5
WI;Allenton ;97.2;0.2;0.5;0.4;2.7;65625;92.8;5.6
NJ;Allentown borough;91;4.4;0.1;1.5;3.6;97434;92.8;2.6
FL;Allentown ;93.4;1.8;1.8;0.3;1.9;71439;95.2;2.4
GA;Allentown ;66.3;29;0;0;3;28958;83.4;30
